term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
anagram,,anagram,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anaklasis,,anaklasis,,Słownik Terminów Literackich (Głowiński),,
anakoinosis,,anakoinosis,,Słownik Terminów Literackich (Głowiński),,
anakolut,,anakolut,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anakreontejski wiersz,,anakreontejski wiersz,,Słownik Terminów Literackich (Głowiński),,
anakreontyk,,anakreontyk,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
anakruza,,anakruza,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
analekta,analecta,analecta,,Słownik terminów literackich (Sierotwiński),,
analityczny,,analityczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
analiza,,analiza,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
analiza aparatu psychicznego,,analiza aparat psychiczny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
analiza dramaturgiczna,,analiza dramaturgiczny,,Słownik terminów teatralnych (Patrice Pavis),,
analiza dyskursu,,analiza dyskurs,,Słownik pojęć i tekstów kultury | Mały słownik terminów teorii tekstu,,
analiza dzieła literackiego,,analiza dzieło literacki,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
analiza genderowa,,analiza genderowy,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
analiza kulturowa,,analiza kulturowy,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
analiza marzenia sennego,,analiza marzenie senny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
analiza narracyjna,,analiza narracyjny,,Słownik terminów teatralnych (Patrice Pavis),,
analiza praktyk dyskursywnych,,analiza praktyka dyskursywnych,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
analiza stereotypowych przedstawień,,analiza stereotypowy przedstawienie,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
analiza strukturalna,,analiza strukturalny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
analiza tekstu kultury,,analiza tekst kultura,,Słownik pojęć i tekstów kultury,,
analogia,,analogia,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ananim,,ananim,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anantopodon,,anantopodon,,Słownik terminów literackich (Sierotwiński),,
anapest,,anapest,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anapodoton,,anapodoton,,Słownik Terminów Literackich (Głowiński),,
anaskeue,,anaskeue,,Słownik Terminów Literackich (Głowiński),,
anastrofa,,anastrofa,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anatema,,anatema,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anatomy of roguery,,anatomy of roguer,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
anceps,,anceps,,Słownik Terminów Literackich (Głowiński),,
androcentryzm,,androcentryzm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
anegdota,,anegdota,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
aneks,,aneks,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anepigraf,,anepigraf,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
angielska powieść łotrzykowska,,angielski powieść łotrzykowski,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
anglicyzm,,anglicyzm,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anglistyka,,anglistyka,,Słownik terminów literackich (Sierotwiński),,
angry young men,,angry young men,,Słownik Terminów Literackich (Głowiński),,
animacja,,animacja,,Słownik wiedzy o teatrze | Słownik pojęć i tekstów kultury,,
animacja komputerowa,,animacja komputerowy,,Słownik pojęć i tekstów kultury,,
animizacja,,animizacja,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ankersmita tezy narratywizmu,,ankersmit teza narratywizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
ankieta,badania ankietowe,ankieta,,Słownik terminów literackich (Sierotwiński) | Słownik terminów teatralnych (Patrice Pavis),,
annales,,annales,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
annał,,annał,,Słownik pojęć i tekstów kultury,,
annały,,annać,,Słownik terminów literackich (Sierotwiński),,
annominacja,annominatio,annominacja,,Słownik terminów literackich (Sierotwiński),,
annominatio,,annominatio,,Słownik Terminów Literackich (Głowiński),,
anonim,,anonim,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ansambl,,ansambl,,Słownik Terminów Literackich (Głowiński),,
ansingelieder,,ansingelieder,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
antagonista,,antagonista,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
antanaklasis,,antanaklasis,,Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
antapodosis,,antapodosis,,Słownik Terminów Literackich (Głowiński),,
antecedencje,,antecedencja,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antedatowanie,,antedatowanie,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
anteoccupatio,,anteoccupatio,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
antepirrema,,antepirrema,,Słownik Terminów Literackich (Głowiński),,
anteriora,,anteriora,,Słownik terminów literackich (Sierotwiński),,
anthem,,anthem,,Słownik Terminów Literackich (Głowiński),,
anticipatio,,anticipatio,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
antistasis,,antistasis,,Słownik Terminów Literackich (Głowiński),,
antoda,,antoda,,Słownik Terminów Literackich (Głowiński),,
antologia,,antologia,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
antonim,,antonim,,"Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
antonimy,,antonimy,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Od teorii do literatury. Słownik literacki,,
antonomazja,,antonomazja,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
antonomazja literacka,,antonomazjy literacki,,Słownik terminów literackich (Sierotwiński),,
antrakt,,antrakt,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
antropocentryczny,,antropocentryczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antropocentryzm,,antropocentryzm,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
antropologia,,antropologia,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik pojęć i tekstów kultury",,
antropologia interpretatywna,,antropologia interpretatywna,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
antropologia kultury,,antropologia kultura,,Słownik Terminów Literackich (Głowiński),,
antropologia strukturalna claude'a levi-straussa,,antropologia strukturalny claude'a levi - strauss,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
antropologia teatru,,antropologia teatr,,Słownik terminów teatralnych (Patrice Pavis),,
antropomorfizacja,,antropomorfizacja,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu,,
antropomorfizm,,antropomorfizm,,"Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
antropomorflczny,,antropomorflczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antropopatia,,antropopatia,,Słownik Terminów Literackich (Głowiński),,
anty bohater,,antybohater,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810543249205606,http://www.wikidata.org/entity/Q110910
antybakch,,antybakch,,Słownik terminów literackich (Sierotwiński),,
antybakchej,,antybakchej,,Słownik Terminów Literackich (Głowiński),,
antybaśń,błąd w lemacie,antybaśńeć,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
antycypacja,,antycypacja,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antyczny,,antyczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antyczny wiersz iloczasowy,,antyczny wiersz iloczasowy,,Słownik Terminów Literackich (Głowiński),,
antydogmatyczny,,antydogmatyczny,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antydramat,,antydramat,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antyesencjalizm,,antyesencjalizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
antyfona,,antyfona,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
antyfonarz,,antyfonarz,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antyfraza,,antyfraza,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antygradacja,,antygradacja,,Słownik terminów literackich (Sierotwiński),,
antyk,,antyk,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
antykadencja,,antykadencja,,Słownik terminów literackich (Sierotwiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antykizacja,,antykizacja,,Słownik Terminów Literackich (Głowiński),,
antyklimaks,,antyklimaks,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
antykrytyka,,antykrytyka,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antykwa,,antykwa,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antykwa renesansowa,,antykwa renesansowy,,Słownik pojęć i tekstów kultury,,
antylaba,,antylaba,,Słownik Terminów Literackich (Głowiński),,
antyliteratura,,antyliteraturo,,Słownik terminów literackich (Sierotwiński),,
antylogia,,antylogia,,Słownik terminów literackich (Sierotwiński),,
antymaska,,antymaska,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
antymetabola,,antymetabola,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9812843461505606,http://www.wikidata.org/entity/Q577968
antymetalepsa,,antymetalepsa,,Słownik Terminów Literackich (Głowiński),,
antymetalepsja,błąd w lemacie,antymetalepsj,,Słownik terminów literackich (Sierotwiński),,
antymetateza,,antymetateza,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
antymodernizm,,antymodernizm,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antynaturalizm,,antynaturalizm,,Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
antynomia,,antynomia,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
